"Area"	"Depth"	"Temperature"	"Secchi"	"O2"	"CH4"	"pH"	"TIC"	"SiO2"	"KdPAR"
32.81	20	17.03	6.5	0.904419368	11.79734277	6.87	0.8223	3312	0.62
1.98	13	15.85	4.5	0.846834734	72.67456656	7.365	4.058	3783	0.89
2.64	22	19.65	3.3	0.813101165	52.95390421	7.685	8.085	3563	0.95
2.64	22	19.65	3.3	0.813101165	52.95390421	7.685	8.085	3563	0.95
12.66	9.5	18.61	1.1	0.840602548	85.63978034	7.225	2.668	1125	1.6
43.91	14	15.44	2.8	0.858252176	29.10005908	6.695	0.8136	2499	0.82
1.16	10	18.55	2.1	0.852771061	260.5969312	7.535	3.092	2063	1.32
3.98	3.5	19.63	1.15	0.836083297	97.56130628	7.07	1.732	2924	2.27
1.09	26	16.55	1.95	0.735063199	41.95606814	6.635	0.7731	5559	1.08
1.69	33	16.91	3.9	0.911605023	98.8148523	7.59	4.651	2679	0.77
43.64	70	14.13	2	0.86321707	4.839550761	6.555	0.4351	3721	1.48
3.77	9	17.8	1.8	0.746327456	96.120524	6.71	1.045	3447	1.64
9.99	35	21.25	2.5	0.898099456	23.16466455	7.815	5.076	419	0.87
6.93	17	15.6	2	0.840184683	5.844536054	6.705	0.793	2622	1.27
3.34	12	15.34	1.3	0.641835819	32.42884702	6.285	0.1422	5692	1.68
3.37	43	17.2	3.2	0.947245312	22.99220499	6.895	0.91	1003	0.72
1.56	76	12.16	6	0.922059983	56.39023662	6.36	0.2662	551	0.42
1.76	25	18.02	2.8	0.880585865	31.02431228	7.205	1.921	2951	0.95
1.4	23	16.15	5	0.894995545	24.53246094	6.74	0.7519	2207	1.04
32.03	10	21.1	4.05	0.894112435	17.0693462	7.195	1.327	1029	0.59
2.73	9	19.56	2.4	0.802300707	37.50788739	7.02	1.165	4037	0.96
2.74	9	17.03	2	0.819882213	14.08840271	7.005	1.143	3163	1.15
27.05	17	17.92	2.15	0.879263421	35.00738721	6.88	0.7714	3047	1.13
5.18	14	17.38	1	0.74015838	28.14437448	5.41	0.07061	4151	2.47
2.05	25	14.44	7	0.923943553	24.43645584	6.66	0.5545	1440	0.43
4.51	8	19.02	2.2	0.745654075	18.89202685	7.035	1.442	4654	0.99
15.54	32	19.99	2.8	0.873835926	8.024583396	7.11	1.271	4475	0.57
17.99	22	20.51	1.8	0.876143244	69.27682381	7.27	1.739	2942	1.25
9.6	20	20.47	2	0.853969028	21.11837047	6.935	0.902	5735	2
16.88	26	20.33	2.5	0.867502151	16.13970842	7.23	1.471	4535	1.14
2.92	20	19.97	3.6	0.862248714	22.55404197	7.15	1.178	2047	0.64
1.4	8	19.75	2	0.70704309	50.1019692	6.855	1.105	4999	1.73
7.02	14	20.03	3.5	0.87858815	12.25673166	7.33	2.133	3580	0.85
1.67	4	20.78	2	0.864008474	62.23135695	7.155	1.386	3864	1
19.5	17.5	19.57	2	0.881246743	8.383747363	7.175	1.343	5776	1.22
12.74	10.5	20.44	1.9	0.846830835	190.0841311	7.25	1.847	5153	1.15
63.5	8	20.5	2.1	0.894385516	8.574950474	7.3	1.853	4854	1.07
2.04	17	16.63	1.05	0.744627227	27.04790957	6.975	1.2	3674	2.33
1.44	3.5	17.68	1.1	0.715419733	46.52973988	6.71	0.5493	3898	1.89
3.29	18	19.25	2.05	0.826941384	17.88923046	6.86	0.7215	4814	1.23
3.45	15	18.27	2.5	0.822078703	12.51565658	6.695	0.6592	4308	1.07
13.74	24	16.91	3.55	0.887316715	16.90288623	7.425	5.004	1790	0.77
140.09	60	16.41	3.5	0.888504398	18.00623215	7.13	2.042	3134	0.67
11.9	9	19.83	3.5	0.863373153	18.96501564	7.175	1.332	3010	0.62
1.89	9	18.79	5	0.905774626	18.47601586	7.185	1.985	4438	0.54
3.17	9	18.96	3	0.821649906	33.99101452	6.94	1.256	5648	1.04
1.22	19	14.81	2	0.76261629	95.27565266	7.19	4.013	3072	1.19
1.53	18.4	15.71	5.05	0.885817967	44.37852238	7.08	1.703	2678	0.67
13.36	34	15.97	6.1	0.915106888	5.997372455	7.215	1.606	2163	0.47
4.8	17	15.07	2.3	0.735182988	33.95199634	6.465	0.6803	3021	1.51
1.09	8	14.74	2.3	0.795601651	85.44545787	6.94	1.762	3850	0.97
50.73	8	18.9	3	0.863453049	20.70437965	7.33	2.764	4137	0.99
3.04	7	18.47	2.5	0.842017921	48.65741437	7.075	1.409	3766	1.09
15.95	20	18.95	1.15	0.878914972	17.34344004	7.04	1.558	3284	1.18
13.66	30	18.8	3.5	0.914141953	9.223830434	6.83	0.6783	3349	0.8
2.06	33	17.27	6	0.955645495	11.30678389	7.19	1.942	313	0.35
2.83	32	17.64	3.15	0.920254925	14.74007989	7.265	2.239	700	0.68
2.17	18	16.41	1.1	0.990791364	38.97408956	7.53	1.358	659	1.82
2.66	60	17.87	5.5	0.922102727	17.18525263	6.965	1.654	224	0.45
39.25	46	9.93	10	0.919218258	4.192702721	6.33	0.164	849	0.26
22.97	70	12.6	2.2	0.938943823	5.373092465	6.56	0.3718	1409	0.5
26.67	70	14.56	5	0.899854027	12.71689398	6.79	0.7468	1757	0.66
1.62	27	14.71	5.8	0.893815572	33.7633891	6.745	0.6554	1787	0.42
3.23	13	12.84	7.2	0.903291342	20.22197541	6.68	0.5226	1733	0.4
1.14	20	17.47	1.5	0.793676327	49.4096219	7.07	2.841	5010	1.37
3.01	12.1	18.85	1.05	0.983792751	162.8673009	8.875	5.045	5468	2.36
3.4	16	17.85	1.5	0.840265439	101.68004	7.225	4.215	5281	1.46
3.4	16	17.85	1.5	0.840265439	101.68004	7.225	4.215	5281	1.46
3.66	45	18.25	4.3	0.891119075	24.53902277	6.915	1.087	3955	0.85
1.67	5.5	20.61	3.1	0.86317133	23.30502533	7.1	1.618	2924	0.85
1.87	14	20.52	1.9	0.643802127	90.93121877	7.515	6.587	320	1.11
1.38	14	21.41	6	0.876189611	80.07065979	7.995	9.187	234	0.46
